City,State,Lat,Long,Pop
Cordoba,Argentina,-31.413496,-64.181052,1441007
Rosario,Argentina,-32.946818,-60.639317,1218497
Mendoza,Argentina,-32.890845,-68.827171,973047
Tucuman,Argentina,-26.824144,-65.2226,828402
La Plata,Argentina,-34.921454,-57.954533,684318
Mar del Plata,Argentina,-38.002278,-57.557539,645771
Salta,Argentina,-24.785896,-65.411664,548288
San Juan,Argentina,-31.5375,-68.536389,469958
Santa Fe,Argentina,-31.629484,-60.701036,456044
Santiago del Estero,Argentina,-27.795112,-64.261489,407636
Resistencia,Argentina,-27.46056,-58.983886,406967
Corrientes,Argentina,-27.480596,-58.834099,390481
Neuquen,Argentina,-38.951606,-68.059102,359037
Posadas,Argentina,-27.367077,-55.896078,313438
Parana,Argentina,-31.731967,-60.523802,299257
Bahia Blanca,Argentina,-38.719595,-62.272432,282950
Jujuy,Argentina,-24.194565,-65.297116,277150
Formosa,Argentina,-26.177534,-58.178139,248756
Catamarca,Argentina,-28.469574,-65.785239,213601
San Luis,Argentina,-33.295012,-66.335627,184869
La Rioja,Argentina,-29.411048,-66.850668,178497
Rio Cuarto,Argentina,-33.130671,-64.349918,174058
Concordia,Argentina,-31.392959,-58.02089,155686
Comodoro Rivadavia,Argentina,-45.864135,-67.496558,142597
San Nicolas,Argentina,-33.335784,-60.225233,130705
Mercedes,Argentina,-33.674359,-65.461405,126559
San Rafael,Argentina,-34.617717,-68.330066,125033
San Carlos de Bariloche,Argentina,-41.140293,-71.301369,110044
Trelew,Argentina,-43.250075,-65.313295,107883
San Martin,Argentina,-33.081031,-68.468138,107554
Tandil,Argentina,-37.321674,-59.133164,100127
Reconquista,Argentina,-29.15,-59.65,95979
Puerto Madryn,Argentina,-42.769201,-65.038513,95547
Rio Gallegos,Argentina,-51.622613,-69.218127,93234
Villa Maria,Argentina,-32.407514,-63.240161,92337
Presidencia Roque Saenz Pena,Argentina,-26.785221,-60.438761,89584
Santa Rosa,Argentina,-36.616667,-64.283333,89478
Zarate,Argentina,-34.098142,-59.028585,88222
Gualeguaychu,Argentina,-33.009375,-58.51722,88218
Pergamino,Argentina,-33.889949,-60.573568,86708
Necochea,Argentina,-38.547259,-58.736753,84969
San Ramon de la Nueva Oran,Argentina,-23.13398,-64.324645,84504
San Vicente,Argentina,-34.982645,-58.376169,84333
Rafaela,Argentina,-31.250332,-61.486696,84025
Campana,Argentina,-34.168742,-58.95914,83175
Olavarria,Argentina,-36.892715,-60.32254,80005
Lujan,Argentina,-33.035471,-68.877823,77625
Viedma,Argentina,-40.813452,-62.996676,76553
Junin,Argentina,-34.583816,-60.943318,76369
General Roca,Argentina,-39.02797,-67.573711,76066
Lujan,Argentina,-34.570278,-59.105,74823
Concepcion del Uruguay,Argentina,-32.482493,-58.237217,72904
Venado Tuerto,Argentina,-33.745564,-61.968845,71794
San Francisco,Argentina,-31.427971,-62.082656,71444
Goya,Argentina,-29.14003,-59.262564,70340
San Pedro,Argentina,-33.679127,-59.666635,67514
Rivadavia,Argentina,-33.190509,-68.46081,65641
Tartagal,Argentina,-22.516365,-63.801314,63600
Eldorado,Argentina,-26.404841,-54.624784,62823
Villa Carlos Paz,Argentina,-31.424138,-64.497778,61095
Obera,Argentina,-27.487059,-55.11994,58939
Ushuaia,Argentina,-54.8,-68.3,58045
General Pico,Argentina,-35.656622,-63.756815,55900
Rio Tercero,Argentina,-32.173008,-64.114055,53396
Punta Alta,Argentina,-38.875875,-62.073589,53117
Azul,Argentina,-36.776976,-59.858539,52333
Chivilcoy,Argentina,-34.895661,-60.016667,52307
Libertador General San Martin,Argentina,-23.806443,-64.787574,49273
Mercedes,Argentina,-34.651455,-59.430676,49067
San Lorenzo,Argentina,-28.133061,-58.767331,47627
Tres Arroyos,Argentina,-38.373939,-60.279781,47143
Villa Constitucion,Argentina,-33.227778,-60.329699,44278
San Pedro,Argentina,-24.231266,-64.866141,43124
Alta Gracia,Argentina,-31.652925,-64.428259,40385
Bell Ville,Argentina,-32.625906,-62.68873,35106
Nueve de Julio,Argentina,-35.444374,-60.883131,34717
Chacabuco,Argentina,-34.641667,-60.473889,34587
Gualeguay,Argentina,-33.141559,-59.309657,33120
Mercedes,Argentina,-29.181858,-58.078951,30649
Rawson,Argentina,-43.300158,-65.10228,26341
Dolores,Argentina,-36.313215,-57.679185,25190
Victoria,Argentina,-32.619888,-60.153907,25139
Lincoln,Argentina,-34.866494,-61.530197,24798
Veinticinco de Mayo,Argentina,-35.432303,-60.172707,24668
