Name,State,Latitude,Longitude,Population
Yerushalayim,Israel,31.78,35.22,705300
Tel aviv-yafo,Israel,32.07,34.77,366900
Haifa,Israel,32.82,34.99,272000
Ashdod,Israel,31.8,34.64,197500
Be'er sheva,Israel,31.25,34.8,186300
Netanya,Israel,32.33,34.86,171300
Bene beraq,Israel,32.09,34.85,142000
Bat yam,Israel,32.02,34.75,132300
Ramat gan,Israel,32.08,34.8,126900
Ashqelon,Israel,31.67,34.56,106800
Rehì±ovot,Israel,31.89,34.8,102600
Herzeliyya,Israel,32.17,34.84,84100
Kefar sava,Israel,32.19,34.91,80600
Ra'anana,Israel,32.19,34.88,71300
Lod,Israel,31.96,34.9,68000
Ramla,Israel,31.93,34.86,64300
Nazì¨erat,Israel,32.71,35.3,63600
Bet shemesh,Israel,31.75,34.98,59300
Modi'in-makkabim-re'ut,Israel,31.9,35.01,51000
Nahariyya,Israel,33.03,35.1,49700
Qiryat atta,Israel,32.81,35.12,49400
Qiryat gat,Israel,31.61,34.76,49100
Giv'atayim,Israel,32.06,34.8,47200
'akko,Israel,32.94,35.08,46000
Elat,Israel,29.56,34.95,45100
Nazì¨erat 'illit,Israel,32.72,35.33,44700
Karmiel,Israel,32.93,35.3,43400
Hod hasharon,Israel,32.15,34.89,41600
Tiberias,Israel,32.8,35.53,40800
Qiryat motzkin,Israel,32.82,35.06,40300
Umm al-fahm,Israel,32.53,35.16,39700
'afula,Israel,32.62,35.29,39500
Qiryat yam,Israel,32.84,35.06,38600
Qiryat bialik,Israel,32.83,35.08,37500
Rosh haayin,Israel,32.1,34.94,36800
Ramat hasharon,Israel,32.15,34.84,35800
Dimona,Israel,31.07,35.03,34600
'ir hahamisha,Israel,32.95,35.16,33400
Yavne,Israel,31.87,34.74,32400
Tayibe,Israel,32.27,34.99,32100
Shefar'am,Israel,32.82,35.17,31700
Baqa-jatt,Israel,32.43,35.05,30000
Or yehuda,Israel,32.04,34.85,29900
Ma'ale adummim,Israel,31.82,35.35,28100
Shagor,Israel,32.92,35.27,27800
Nes zì±iyyona,Israel,31.93,34.8,27300
Zì±efat,Israel,32.97,35.51,27300
Yehud-newe efrayim,Israel,32.04,34.89,25400
Migdal ha'emeq,Israel,32.68,35.24,25200
Tamra,Israel,32.85,35.2,25200
Qiryat ono,Israel,32.07,34.85,24600
'arad,Israel,31.26,35.22,24500
Ofaqim,Israel,31.32,34.61,24300
Betar illit,Israel,31.7,35.12,24000
Sakhnin,Israel,32.87,35.29,23800
Netivot,Israel,31.43,34.6,23700
Daliyat al karmel-'isifya,Israel,32.72,35.08,23500
Qiryat shemona,Israel,33.21,35.57,22500
Mevasserat ziyyon,Israel,31.8,35.15,22000
Nesher,Israel,32.75,35.06,21500
Sederot,Israel,31.53,34.58,20500
Tire,Israel,32.25,34.96,20400
Qiryat mal'akhi,Israel,31.74,34.74,19600
'arrabe,Israel,32.85,35.33,19100
Tirat karmel,Israel,32.75,34.99,19100
Mugar,Israel,32.89,35.41,18700
Yoqne'am illit,Israel,32.67,35.13,17900
Judeide-maker,Israel,32.92,35.15,17300
Shoham,Israel,32,34.96,17300
Ari'el,Israel,32.1,35.17,17100
Giv'at shemuel,Israel,32.07,34.85,17100
Kafar kanna,Israel,32.75,35.35,16900
Kafar qasem,Israel,32.12,34.98,16700
Bet she'an,Israel,32.51,35.51,16400
Qalansawe,Israel,32.29,34.98,16400
Zikhron ya'aqov,Israel,32.58,34.95,15600
Reine,Israel,32.72,35.3,15500
'ar'ara,Israel,32.49,35.1,15100
Kafar manda,Israel,32.82,35.25,14400
Kafar qara',Israel,32.5,35.05,13700
Gan yavne,Israel,31.79,34.71,13600
Qiryat tiv'on,Israel,32.73,35.13,13600
Gedera,Israel,31.82,34.78,13300
Ganne tiqwa,Israel,32.05,34.87,12000
Kefar yona,Israel,32.32,34.93,12000
Giv'at ze'ev,Israel,31.87,35.17,11100
Iksal,Israel,32.68,35.32,10900
Tur'an,Israel,32.77,35.37,10900
Jisr az-zarqa,Israel,32.54,34.91,10600
'ein mahel,Israel,32.72,35.35,10400
I'billin,Israel,32.82,35.18,10400
Azur,Israel,32.02,34.8,10100
Qiryat 'eqron,Israel,31.85,34.82,10000
Beit jann,Israel,32.97,35.38,9800
Nahef,Israel,32.94,35.33,9800
Binyamina-giv'at ada,Israel,32.53,43.95,9700
Fureidis,Israel,32.6,34.95,9700
Be'er ya'aqov,Israel,31.93,34.83,9100
Kabul,Israel,32.87,35.22,9100
Even yehuda,Israel,32.29,34.88,9000
Yeroham,Israel,31,34.91,9000
Kuseife,Israel,31.25,35.07,8900
